ParentNode [0,766] X:-320.00,320.00  Y:-320.00,320.00  Z:-320.00,320.00
Parent: 0,766] ChildBox 0)  X:(-320.00,0.00)  Y:(-320.00,0.00)  Z:(0.00,320.00)
mzb:202, mmb:100  X:(-3.05,-0.48),  Y:(-1.60,-0.61),  Z:(159.13,161.15)
mzb:270, mmb:100  X:(-3.34,-0.97),  Y:(-1.61,-0.62),  Z:(161.10,162.73)
mzb:271, mmb:99  X:(-2.58,-0.83),  Y:(-2.25,-1.59),  Z:(159.55,160.98)
mzb:340, mmb:107  X:(-2.72,-1.39),  Y:(-1.81,-1.59),  Z:(161.45,162.28)
mzb:377, mmb:101  X:(-1.47,-0.33),  Y:(-2.30,-1.30),  Z:(192.61,193.75)
ParentNode [766,5] X:-320.00,0.00  Y:-320.00,0.00  Z:0.00,320.00
Parent: 766,5] ChildBox 0)  X:(-320.00,-160.00)  Y:(-320.00,-160.00)  Z:(160.00,320.00)
Parent: 766,5] ChildBox 1)  X:(-160.00,0.00)  Y:(-320.00,-160.00)  Z:(160.00,320.00)
Parent: 766,5] ChildBox 2)  X:(-320.00,-160.00)  Y:(-320.00,-160.00)  Z:(0.00,160.00)
Parent: 766,5] ChildBox 3)  X:(-160.00,0.00)  Y:(-320.00,-160.00)  Z:(0.00,160.00)
Parent: 766,5] ChildBox 4)  X:(-320.00,-160.00)  Y:(-160.00,0.00)  Z:(160.00,320.00)
Parent: 766,5] ChildBox 5)  X:(-160.00,0.00)  Y:(-160.00,0.00)  Z:(160.00,320.00)
mzb:270, mmb:100  X:(-3.34,-0.97),  Y:(-1.61,-0.62),  Z:(161.10,162.73)
mzb:340, mmb:107  X:(-2.72,-1.39),  Y:(-1.81,-1.59),  Z:(161.45,162.28)
mzb:377, mmb:101  X:(-1.47,-0.33),  Y:(-2.30,-1.30),  Z:(192.61,193.75)
Parent: 766,5] ChildBox 6)  X:(-320.00,-160.00)  Y:(-160.00,0.00)  Z:(0.00,160.00)
Parent: 766,5] ChildBox 7)  X:(-160.00,0.00)  Y:(-160.00,0.00)  Z:(0.00,160.00)
Parent: 0,766] ChildBox 1)  X:(0.00,320.00)  Y:(-320.00,0.00)  Z:(0.00,320.00)
mzb:62, mmb:69  X:(3.76,36.85),  Y:(-18.12,-7.38),  Z:(79.00,121.00)
mzb:63, mmb:70  X:(14.63,25.45),  Y:(-18.12,-7.49),  Z:(68.39,81.00)
mzb:65, mmb:17  X:(1.76,36.92),  Y:(-5.95,-0.00),  Z:(146.62,198.21)
mzb:66, mmb:24  X:(160.00,240.00),  Y:(-91.53,-64.42),  Z:(160.00,200.00)
mzb:67, mmb:21  X:(200.00,240.00),  Y:(-70.00,-39.00),  Z:(198.00,240.07)
mzb:68, mmb:22  X:(160.00,200.00),  Y:(-70.00,-39.00),  Z:(198.00,231.71)
mzb:69, mmb:18  X:(200.00,240.00),  Y:(-40.93,-39.00),  Z:(160.00,200.00)
mzb:70, mmb:23  X:(123.96,162.00),  Y:(-70.00,-39.00),  Z:(160.00,224.53)
mzb:71, mmb:19  X:(200.00,240.00),  Y:(-70.00,-39.00),  Z:(120.00,162.00)
mzb:72, mmb:21  X:(239.93,282.00),  Y:(-70.00,-39.00),  Z:(160.00,200.00)
mzb:73, mmb:20  X:(136.00,160.76),  Y:(-70.28,-38.88),  Z:(138.25,160.92)
mzb:74, mmb:20  X:(239.08,261.75),  Y:(-70.28,-38.88),  Z:(136.00,160.76)
mzb:75, mmb:20  X:(258.25,280.92),  Y:(-70.28,-38.88),  Z:(199.24,224.00)
mzb:76, mmb:69  X:(203.76,236.85),  Y:(-58.12,-47.38),  Z:(79.00,121.00)
mzb:77, mmb:70  X:(214.63,225.45),  Y:(-58.12,-47.49),  Z:(68.39,81.00)
mzb:78, mmb:22  X:(160.00,200.00),  Y:(-70.00,-39.00),  Z:(128.29,162.00)
mzb:79, mmb:17  X:(201.76,236.92),  Y:(-45.95,-40.00),  Z:(146.62,198.21)
mzb:95, mmb:108  X:(206.32,234.08),  Y:(-42.09,-38.85),  Z:(196.19,204.63)
mzb:98, mmb:109  X:(237.83,242.57),  Y:(-42.15,-38.99),  Z:(165.75,195.57)
mzb:193, mmb:100  X:(11.02,12.77),  Y:(-3.09,-2.10),  Z:(201.88,204.31)
mzb:194, mmb:102  X:(59.16,61.19),  Y:(-15.48,-13.98),  Z:(177.98,180.01)
mzb:195, mmb:103  X:(20.93,21.93),  Y:(-7.45,-6.45),  Z:(221.04,222.04)
mzb:196, mmb:103  X:(20.29,21.29),  Y:(-7.47,-6.47),  Z:(222.31,223.31)
mzb:197, mmb:103  X:(15.42,16.42),  Y:(-16.45,-15.45),  Z:(219.71,220.71)
mzb:198, mmb:101  X:(64.97,65.97),  Y:(-7.46,-6.46),  Z:(178.91,179.91)
mzb:199, mmb:101  X:(64.35,65.35),  Y:(-7.52,-6.52),  Z:(177.86,178.86)
mzb:200, mmb:101  X:(64.74,65.74),  Y:(-8.46,-7.46),  Z:(178.53,179.53)
mzb:203, mmb:101  X:(0.86,2.18),  Y:(-1.60,-0.60),  Z:(160.01,161.33)
mzb:204, mmb:99  X:(7.05,8.66),  Y:(-4.73,-4.07),  Z:(205.94,207.71)
mzb:205, mmb:99  X:(20.54,22.23),  Y:(-10.16,-9.50),  Z:(221.13,222.89)
mzb:206, mmb:58  X:(12.82,14.06),  Y:(-11.77,-10.19),  Z:(90.43,91.66)
mzb:207, mmb:1  X:(22.57,23.07),  Y:(-4.50,-2.04),  Z:(155.52,156.02)
mzb:208, mmb:105  X:(45.38,46.42),  Y:(-2.94,-1.98),  Z:(174.85,175.90)
mzb:209, mmb:106  X:(19.86,20.92),  Y:(-7.46,-6.48),  Z:(220.73,221.66)
mzb:210, mmb:107  X:(45.55,47.01),  Y:(-3.18,-2.96),  Z:(173.83,174.92)
mzb:211, mmb:56  X:(18.00,20.00),  Y:(-10.85,-8.00),  Z:(119.74,120.06)
mzb:212, mmb:57  X:(17.45,22.55),  Y:(-13.50,-8.00),  Z:(119.50,120.50)
mzb:213, mmb:62  X:(15.38,24.62),  Y:(-20.00,-7.58),  Z:(116.00,124.00)
mzb:214, mmb:56  X:(22.00,24.00),  Y:(-10.85,-8.00),  Z:(119.74,120.06)
mzb:215, mmb:1  X:(4.13,4.63),  Y:(-3.08,-0.62),  Z:(159.69,160.20)
mzb:218, mmb:52  X:(7.47,24.94),  Y:(-14.43,-5.50),  Z:(215.65,230.41)
mzb:219, mmb:52  X:(57.65,72.79),  Y:(-14.43,-5.50),  Z:(166.28,183.81)
mzb:221, mmb:59  X:(8.00,33.47),  Y:(-18.00,-5.00),  Z:(213.77,216.15)
mzb:222, mmb:59  X:(53.77,56.15),  Y:(-18.00,-5.00),  Z:(166.53,192.00)
mzb:230, mmb:1  X:(22.54,23.04),  Y:(-7.76,-5.30),  Z:(215.05,215.56)
mzb:233, mmb:1  X:(26.84,27.34),  Y:(-7.76,-5.30),  Z:(214.96,215.46)
mzb:246, mmb:104  X:(12.50,14.00),  Y:(-15.49,-13.99),  Z:(219.24,220.74)
mzb:247, mmb:104  X:(21.69,23.56),  Y:(-7.13,-5.63),  Z:(230.71,232.58)
mzb:248, mmb:103  X:(21.99,23.33),  Y:(-8.11,-7.11),  Z:(230.93,232.27)
mzb:249, mmb:1  X:(70.17,70.67),  Y:(-8.13,-5.67),  Z:(185.80,186.30)
mzb:250, mmb:60  X:(26.61,27.83),  Y:(-10.75,-5.35),  Z:(215.77,221.37)
mzb:251, mmb:60  X:(50.62,56.22),  Y:(-10.75,-5.35),  Z:(187.38,188.45)
mzb:252, mmb:102  X:(45.89,47.39),  Y:(-3.46,-1.96),  Z:(172.32,173.82)
mzb:253, mmb:101  X:(45.76,46.97),  Y:(-2.97,-1.97),  Z:(173.91,175.12)
mzb:254, mmb:103  X:(49.43,50.84),  Y:(-6.45,-5.45),  Z:(175.69,177.10)
mzb:255, mmb:100  X:(49.94,52.51),  Y:(-6.39,-5.40),  Z:(173.36,175.39)
mzb:256, mmb:103  X:(52.09,53.15),  Y:(-9.54,-8.54),  Z:(171.42,172.48)
mzb:257, mmb:61  X:(20.06,21.96),  Y:(-7.18,-5.28),  Z:(215.92,216.06)
mzb:258, mmb:61  X:(14.06,15.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:259, mmb:61  X:(18.06,19.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:260, mmb:61  X:(12.06,13.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:261, mmb:61  X:(16.06,17.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:262, mmb:61  X:(10.06,11.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:263, mmb:61  X:(54.04,55.95),  Y:(-7.18,-5.28),  Z:(179.93,180.08)
mzb:264, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(178.04,179.94)
mzb:265, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(176.04,177.94)
mzb:266, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(174.04,175.94)
mzb:267, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(172.04,173.94)
mzb:268, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(170.04,171.94)
mzb:269, mmb:100  X:(14.35,17.01),  Y:(-7.44,-6.45),  Z:(218.21,220.64)
mzb:272, mmb:104  X:(1.02,2.52),  Y:(-2.10,-0.60),  Z:(157.44,158.94)
mzb:273, mmb:101  X:(0.02,1.02),  Y:(-3.09,-2.09),  Z:(159.15,160.15)
mzb:274, mmb:104  X:(18.45,20.09),  Y:(-12.49,-10.99),  Z:(220.59,222.22)
mzb:275, mmb:102  X:(20.21,22.22),  Y:(-12.49,-10.99),  Z:(220.88,222.90)
mzb:276, mmb:104  X:(15.89,17.53),  Y:(-7.99,-6.49),  Z:(220.35,221.99)
mzb:277, mmb:103  X:(13.24,14.59),  Y:(-16.50,-15.50),  Z:(217.48,218.82)
mzb:278, mmb:100  X:(14.23,16.73),  Y:(-11.99,-11.00),  Z:(217.99,219.86)
mzb:279, mmb:104  X:(15.58,17.22),  Y:(-15.49,-13.99),  Z:(218.96,220.60)
mzb:280, mmb:103  X:(20.71,21.71),  Y:(-8.45,-7.45),  Z:(221.75,222.75)
mzb:281, mmb:107  X:(8.39,9.95),  Y:(-2.35,-2.13),  Z:(201.28,202.73)
mzb:282, mmb:107  X:(9.67,10.92),  Y:(-2.96,-2.74),  Z:(201.79,203.32)
mzb:283, mmb:107  X:(11.21,12.53),  Y:(-3.50,-3.28),  Z:(202.48,204.03)
mzb:284, mmb:107  X:(11.16,12.61),  Y:(-3.30,-3.08),  Z:(202.72,203.79)
mzb:285, mmb:99  X:(9.94,10.89),  Y:(-2.76,-2.10),  Z:(202.00,203.50)
mzb:286, mmb:100  X:(49.86,52.05),  Y:(-7.36,-6.37),  Z:(171.82,174.45)
mzb:287, mmb:102  X:(62.09,64.06),  Y:(-12.47,-10.97),  Z:(179.55,181.52)
mzb:288, mmb:102  X:(63.27,65.09),  Y:(-12.47,-10.97),  Z:(172.42,174.24)
mzb:289, mmb:102  X:(63.93,65.56),  Y:(-12.47,-10.97),  Z:(169.93,171.56)
mzb:290, mmb:104  X:(60.64,62.27),  Y:(-8.02,-6.52),  Z:(174.38,176.01)
mzb:291, mmb:104  X:(62.34,64.17),  Y:(-8.02,-6.52),  Z:(175.60,177.42)
mzb:292, mmb:104  X:(59.58,61.60),  Y:(-8.02,-6.52),  Z:(175.99,178.01)
mzb:293, mmb:100  X:(60.58,63.24),  Y:(-11.97,-10.98),  Z:(174.66,177.01)
mzb:294, mmb:61  X:(19.93,20.07),  Y:(-7.18,-5.28),  Z:(214.04,215.94)
mzb:295, mmb:104  X:(20.09,22.03),  Y:(-8.61,-7.11),  Z:(217.41,219.35)
mzb:296, mmb:104  X:(22.47,24.31),  Y:(-7.14,-5.64),  Z:(217.85,219.68)
mzb:297, mmb:49  X:(27.90,29.44),  Y:(-7.82,-0.75),  Z:(205.15,208.07)
mzb:298, mmb:47  X:(30.52,31.04),  Y:(-5.23,-0.71),  Z:(208.49,209.01)
mzb:299, mmb:47  X:(6.08,7.59),  Y:(-7.36,-3.15),  Z:(209.96,211.51)
mzb:300, mmb:49  X:(8.84,11.94),  Y:(-12.05,-5.54),  Z:(210.84,214.15)
mzb:301, mmb:49  X:(8.76,12.73),  Y:(-9.84,-5.20),  Z:(208.71,213.91)
mzb:302, mmb:61  X:(55.91,56.05),  Y:(-7.18,-5.28),  Z:(180.07,181.98)
mzb:304, mmb:55  X:(46.06,48.16),  Y:(-4.88,-1.98),  Z:(170.77,173.14)
mzb:305, mmb:104  X:(20.32,22.40),  Y:(-7.11,-5.61),  Z:(216.63,218.71)
mzb:306, mmb:104  X:(10.78,12.63),  Y:(-6.95,-5.45),  Z:(211.91,213.75)
mzb:307, mmb:101  X:(19.00,20.31),  Y:(-6.45,-5.45),  Z:(210.16,211.46)
